id,separationtype,gender,age,institute_service,dissatisfied,institute,service_cat
6.34497559461719e+17,Resignation,Male,31  35,1.0,False,TAFE,New
6.34498298127969e+17,Resignation,Female,20 or younger,,False,TAFE,
6.34508607117812e+17,Resignation,Male,21  25,3.0,False,TAFE,Experienced
6.34509621647969e+17,Resignation,Female,51-55,,False,TAFE,
6.34515603225e+17,Resignation,Female,36  40,1.0,True,TAFE,New
6.34517445885469e+17,Resignation,Female,41  45,11.0,False,TAFE,Veteran
6.34520852160469e+17,Resignation,Female,51-55,,False,TAFE,
6.34521642169688e+17,Resignation,Female,21  25,3.0,True,TAFE,Experienced
6.34522371755781e+17,Resignation,Female,36  40,,False,TAFE,
6.34526057042656e+17,Resignation,Female,41  45,,False,TAFE,
6.34527641594062e+17,Resignation,Female,20 or younger,1.0,False,TAFE,New
6.34541462557656e+17,Resignation,Female,21  25,3.0,False,TAFE,Experienced
6.34550190071875e+17,Resignation,Female,51-55,1.0,False,TAFE,New
6.34551070180781e+17,Resignation,Female,36  40,5.0,False,TAFE,Experienced
6.3455287020625e+17,Resignation,Male,36  40,3.0,False,TAFE,Experienced
6.34556300304062e+17,Resignation,Female,41  45,1.0,False,TAFE,New
6.345578604725e+17,Resignation,Male,46  50,11.0,False,TAFE,Veteran
6.3455802800948e+17,Resignation,Male,26  30,1.0,False,TAFE,New
6.3455895140073e+17,Resignation,Female,56 or older,,False,TAFE,
6.34563904634531e+17,Resignation,Female,56 or older,5.0,False,TAFE,Experienced
6.34564737601875e+17,Resignation,Male,46  50,,True,TAFE,
6.34565719506875e+17,Resignation,Male,46  50,,False,TAFE,
6.34568278370781e+17,Resignation,Male,51-55,,True,TAFE,
6.34568317773125e+17,Resignation,Male,56 or older,,False,TAFE,
6.34570247249322e+17,Resignation,Female,56 or older,11.0,False,TAFE,Veteran
6.34570842998906e+17,Resignation,Female,46  50,5.0,True,TAFE,Experienced
6.34574339025156e+17,Resignation,Male,51-55,,True,TAFE,
6.3457516073125e+17,Resignation,Male,51-55,11.0,False,TAFE,Veteran
6.345754127925e+17,Resignation,Female,56 or older,,True,TAFE,
6.34576020012813e+17,Resignation,Female,56 or older,11.0,False,TAFE,Veteran
6.34576957824062e+17,Resignation,Female,56 or older,11.0,False,TAFE,Veteran
6.34577056474375e+17,Resignation,Female,21  25,,False,TAFE,
6.34577945776563e+17,Resignation,Female,51-55,3.0,False,TAFE,Experienced
6.34577978929375e+17,Resignation,Female,31  35,3.0,False,TAFE,Experienced
6.3458117411625e+17,Resignation,Male,51-55,,True,TAFE,
6.34582074204062e+17,Resignation,Female,26  30,,False,TAFE,
6.34582155813125e+17,Resignation,Female,46  50,1.0,False,TAFE,New
6.34589153179219e+17,Resignation,Female,51-55,,False,TAFE,
6.34592549493281e+17,Resignation,Female,46  50,3.0,False,TAFE,Experienced
6.34593386107187e+17,Resignation,Female,41  45,1.0,False,TAFE,New
6.34595867098906e+17,Resignation,Female,41  45,3.0,False,TAFE,Experienced
6.34600285342656e+17,Resignation,Female,41  45,,False,TAFE,
6.34617650635469e+17,Resignation,Male,41  45,3.0,True,TAFE,Experienced
6.34620134299688e+17,Resignation,Female,36  40,5.0,False,TAFE,Experienced
6.34623599234844e+17,Resignation,Female,56 or older,11.0,False,TAFE,Veteran
6.34634833429063e+17,Resignation,Female,31  35,1.0,True,TAFE,New
6.34635009354531e+17,Resignation,Female,31  35,,False,TAFE,
6.34638198687656e+17,Resignation,Male,36  40,7.0,False,TAFE,Established
6.3463826696125e+17,Resignation,Male,41  45,1.0,True,TAFE,New
6.34638274154219e+17,Resignation,Female,26  30,1.0,False,TAFE,New
6.34638401683906e+17,Resignation,Male,56 or older,11.0,True,TAFE,Veteran
6.34648744738906e+17,Resignation,Female,51-55,1.0,False,TAFE,New
6.34648747047187e+17,Resignation,Male,51-55,11.0,False,TAFE,Veteran
6.34653126293281e+17,Resignation,Male,26  30,7.0,False,TAFE,Established
6.34662477490156e+17,Resignation,Female,31  35,,False,TAFE,
6.34666854789531e+17,Resignation,Female,41  45,11.0,False,TAFE,Veteran
6.34668611537031e+17,Resignation,Female,31  35,3.0,False,TAFE,Experienced
6.34671263031094e+17,Resignation,Female,26  30,5.0,True,TAFE,Experienced
6.34671297286719e+17,Resignation,Female,51-55,1.0,False,TAFE,New
6.34674515660156e+17,Resignation,Male,36  40,11.0,True,TAFE,Veteran
6.34683356744531e+17,Resignation,Female,20 or younger,3.0,False,TAFE,Experienced
6.34691779624687e+17,Resignation,Female,21  25,1.0,False,TAFE,New
6.34696179014844e+17,Resignation,Female,26  30,7.0,False,TAFE,Established
6.34697816674062e+17,Resignation,Female,26  30,,False,TAFE,
6.347023585025e+17,Resignation,Male,36  40,3.0,True,TAFE,Experienced
6.34702366178594e+17,Resignation,Male,31  35,5.0,False,TAFE,Experienced
6.34713425884844e+17,Resignation,Female,56 or older,1.0,False,TAFE,New
6.34722082133437e+17,Resignation,Male,21  25,1.0,False,TAFE,New
6.34722949292074e+17,Resignation,Male,41  45,1.0,True,TAFE,New
6.34722992951406e+17,Resignation,Female,31  35,1.0,True,TAFE,New
6.34743600339485e+17,Resignation,Male,56 or older,,False,TAFE,
6.3475061227315e+17,Resignation,Female,46  50,,False,TAFE,
6.34753384952766e+17,Resignation,Female,51-55,,False,TAFE,
6.34760046003775e+17,Resignation,Female,36  40,5.0,True,TAFE,Experienced
6.34763735587969e+17,Resignation,Female,31  35,,False,TAFE,
6.34774030826094e+17,Resignation,Female,46  50,,False,TAFE,
6.34774723180937e+17,Resignation,Male,46  50,11.0,False,TAFE,Veteran
6.34775905600156e+17,Resignation,Male,36  40,,True,TAFE,
6.34776478226875e+17,Resignation,Male,21  25,1.0,False,TAFE,New
6.34779998192656e+17,Resignation,Female,36  40,1.0,True,TAFE,New
6.34781625247656e+17,Resignation,Female,21  25,,False,TAFE,
6.34781843688125e+17,Resignation,Female,51-55,5.0,True,TAFE,Experienced
6.34786182825625e+17,Resignation,Female,21  25,1.0,False,TAFE,New
6.34786910427969e+17,Resignation,Female,41  45,11.0,False,TAFE,Veteran
6.34788542900625e+17,Resignation,Male,31  35,1.0,False,TAFE,New
6.34789421680312e+17,Resignation,Female,41  45,5.0,True,TAFE,Experienced
6.34793871139219e+17,Resignation,Female,21  25,3.0,False,TAFE,Experienced
6.34794639635781e+17,Resignation,Female,21  25,,False,TAFE,
6.34794857718438e+17,Resignation,Male,56 or older,1.0,True,TAFE,New
6.34799770843437e+17,Resignation,Female,46  50,1.0,True,TAFE,New
6.3480076201625e+17,Resignation,Male,26  30,3.0,False,TAFE,Experienced
6.34807637421719e+17,Resignation,Female,46  50,7.0,True,TAFE,Established
6.34811063824844e+17,Resignation,Male,41  45,,False,TAFE,
6.34812805553281e+17,Resignation,Female,21  25,1.0,True,TAFE,New
6.34813581041094e+17,Resignation,Female,26  30,1.0,False,TAFE,New
6.34816502884375e+17,Resignation,Male,36  40,1.0,False,TAFE,New
6.3481720866375e+17,Resignation,Female,21  25,1.0,True,TAFE,New
6.34823973840625e+17,Resignation,Male,21  25,1.0,False,TAFE,New
6.34825003759375e+17,Resignation,Female,31  35,3.0,False,TAFE,Experienced
6.348250791775e+17,Resignation,Female,20 or younger,3.0,True,TAFE,Experienced
6.34825691015156e+17,Resignation,Male,51-55,1.0,False,TAFE,New
6.34831756059375e+17,Resignation,Male,56 or older,3.0,False,TAFE,Experienced
6.3483795741875e+17,Resignation,Female,26  30,3.0,True,TAFE,Experienced
6.34837984851406e+17,Resignation,Female,56 or older,3.0,False,TAFE,Experienced
6.348438490525e+17,Resignation,Female,36  40,11.0,False,TAFE,Veteran
6.34849101152813e+17,Resignation,Female,41  45,1.0,False,TAFE,New
6.34852685801719e+17,Resignation,Male,21  25,1.0,False,TAFE,New
6.34854316269063e+17,Resignation,Male,46  50,,False,TAFE,
6.348543995725e+17,Resignation,Female,56 or older,5.0,False,TAFE,Experienced
6.34860279552344e+17,Resignation,Male,51-55,7.0,False,TAFE,Established
6.34866546778594e+17,Resignation,Male,36  40,7.0,False,TAFE,Established
6.34867257481719e+17,Resignation,Female,31  35,,False,TAFE,
6.34873325422656e+17,Resignation,Female,36  40,7.0,False,TAFE,Established
6.34874537800469e+17,Resignation,Female,36  40,,False,TAFE,
6.34878466942188e+17,Resignation,Female,26  30,1.0,False,TAFE,New
6.34880266652344e+17,Resignation,Female,31  35,,False,TAFE,
6.34884416485938e+17,Resignation,Female,46  50,5.0,True,TAFE,Experienced
6.3488615834625e+17,Resignation,Male,31  35,3.0,True,TAFE,Experienced
6.3488880224e+17,Resignation,Female,56 or older,3.0,True,TAFE,Experienced
6.34889851025469e+17,Resignation,Male,36  40,7.0,False,TAFE,Established
6.34890472281094e+17,Resignation,Male,46  50,7.0,False,TAFE,Established
6.3489055184875e+17,Resignation,Male,41  45,1.0,False,TAFE,New
6.34892336760312e+17,Resignation,Female,21  25,3.0,True,TAFE,Experienced
6.34892361974219e+17,Resignation,Female,31  35,1.0,False,TAFE,New
6.34902770430459e+17,Resignation,Male,41  45,1.0,False,TAFE,New
6.34903651349219e+17,Resignation,Male,51-55,3.0,False,TAFE,Experienced
6.34907124987812e+17,Resignation,Female,51-55,7.0,True,TAFE,Established
6.34908638162969e+17,Resignation,Female,21  25,3.0,True,TAFE,Experienced
6.34908831659365e+17,Resignation,Female,46  50,1.0,False,TAFE,New
6.34932864696524e+17,Resignation,Male,36  40,5.0,False,TAFE,Experienced
6.34933010519531e+17,Resignation,Female,46  50,7.0,False,TAFE,Established
6.34938047980781e+17,Resignation,Female,41  45,3.0,False,TAFE,Experienced
6.34938094787656e+17,Resignation,Male,41  45,5.0,True,TAFE,Experienced
6.34940601409024e+17,Resignation,Female,56 or older,5.0,False,TAFE,Experienced
6.34945048175625e+17,Resignation,Female,41  45,3.0,False,TAFE,Experienced
6.34945136067187e+17,Resignation,Female,36  40,5.0,False,TAFE,Experienced
6.34951129892031e+17,Resignation,Male,31  35,3.0,False,TAFE,Experienced
6.34951997495625e+17,Resignation,Female,46  50,5.0,False,TAFE,Experienced
6.34958140455899e+17,Resignation,Male,46  50,3.0,False,TAFE,Experienced
6.34964112426563e+17,Resignation,Female,21  25,3.0,False,TAFE,Experienced
6.34969167674375e+17,Resignation,Female,56 or older,11.0,True,TAFE,Veteran
6.34970182194493e+17,Resignation,Male,51-55,1.0,False,TAFE,New
6.34975184457305e+17,Resignation,Female,26  30,,False,TAFE,
6.34975203429336e+17,Resignation,Male,20 or younger,,False,TAFE,
6.3497631483625e+17,Resignation,Male,46  50,7.0,True,TAFE,Established
6.34977079348281e+17,Resignation,Female,46  50,5.0,False,TAFE,Experienced
6.34982066598317e+17,Resignation,Male,51-55,7.0,False,TAFE,Established
6.34985719186563e+17,Resignation,Male,51-55,3.0,False,TAFE,Experienced
6.3499166642113e+17,Resignation,Male,36  40,1.0,True,TAFE,New
6.3499269435863e+17,Resignation,Female,26  30,,False,TAFE,
6.34995296716719e+17,Resignation,Female,51-55,,False,TAFE,
6.34998528620661e+17,Resignation,Female,46  50,1.0,False,TAFE,New
6.34999429878281e+17,Resignation,Female,41  45,3.0,False,TAFE,Experienced
6.35000251520036e+17,Resignation,Female,46  50,5.0,True,TAFE,Experienced
6.35010822773594e+17,Resignation,Female,26  30,3.0,False,TAFE,Experienced
6.35012661372849e+17,Resignation,Female,46  50,,True,TAFE,
6.35017508419688e+17,Resignation,Male,51-55,,True,TAFE,
6.35019417764844e+17,Resignation,Female,41  45,1.0,False,TAFE,New
6.35021852425625e+17,Resignation,Female,36  40,,False,TAFE,
6.35025280694687e+17,Resignation,Male,51-55,3.0,False,TAFE,Experienced
6.35027942448125e+17,Resignation,Female,56 or older,1.0,False,TAFE,New
6.35031425678438e+17,Resignation,Female,26  30,,False,TAFE,
6.35035655232813e+17,Resignation,Female,26  30,,False,TAFE,
6.35037423338906e+17,Resignation,Female,41  45,,False,TAFE,
6.35037453598125e+17,Resignation,Male,41  45,3.0,False,TAFE,Experienced
6.35040151398125e+17,Resignation,Female,26  30,1.0,True,TAFE,New
6.3504256585625e+17,Resignation,Female,41  45,5.0,False,TAFE,Experienced
6.35047878104375e+17,Resignation,Female,46  50,5.0,False,TAFE,Experienced
6.3504798376125e+17,Resignation,Male,41  45,,True,TAFE,
6.35049585605e+17,Resignation,Female,56 or older,3.0,False,TAFE,Experienced
6.35059949710781e+17,Resignation,Female,26  30,1.0,False,TAFE,New
6.35065973820625e+17,Resignation,Male,21  25,5.0,False,TAFE,Experienced
6.35066785175197e+17,Resignation,Male,51-55,1.0,False,TAFE,New
6.35070442972541e+17,Resignation,Female,51-55,5.0,False,TAFE,Experienced
6.35073030973791e+17,Resignation,Female,26  30,3.0,False,TAFE,Experienced
